ext_int,sen_int,think_feel,judg_per,mbti_type
19,70,54,45,ISFP
21,53,30,55,INFJ
54,86,76,50,ISTP
81,61,66,9,ESTP
0,34,28,95,INFJ
83,57,63,81,ESTJ
79,83,31,95,ESFJ
24,1,13,21,INFP
66,90,96,66,ESTJ
92,93,82,87,ESTJ
31,17,82,44,INTP
87,88,41,68,ESFJ
37,5,5,72,INFJ
10,96,79,89,ISTJ
77,82,89,49,ESTP
64,50,28,14,ENFP
48,59,61,3,ISTP
15,25,3,15,INFP
83,56,3,59,ESFJ
13,85,79,49,ISTP
7,57,31,66,ISFJ
71,23,29,61,ENFJ
85,29,48,14,ENFP
43,90,87,72,ISTJ
49,52,62,58,INTJ
70,90,93,65,ESTJ
11,70,39,91,ISFJ
96,74,99,44,ESTP
21,74,24,78,ISFJ
52,28,76,85,INTJ
27,58,30,43,ISFP
10,69,83,86,ISTJ
43,97,21,18,ISFP
91,53,93,41,ENTP
90,78,72,47,ESTP
62,89,55,86,ESTJ
41,63,50,5,ISFP
97,28,16,76,ENFJ
24,15,21,53,INFP
57,24,72,53,ENTP
20,32,95,7,INTP
34,85,80,2,ISTP
88,97,78,28,ESTP
74,39,57,17,ENTP
73,59,69,31,ESTP
43,78,49,55,ISFJ
56,39,28,96,ENFJ
9,67,13,77,ISFJ
6,61,87,52,ISTP
29,20,5,78,INFJ
77,48,7,37,ENFP
4,52,0,24,INFP
32,34,57,61,INTJ
10,51,23,60,INFJ
41,97,76,54,ISTP
15,80,86,51,ISTP
64,35,92,95,ENTJ
37,59,56,73,ISTJ
18,71,45,90,ISFJ
10,41,72,73,INTJ
80,31,26,92,ENFJ
3,69,45,54,ISFP
100,34,85,9,ENTP
83,35,59,71,ENTJ
17,46,37,73,INFJ
63,1,81,38,ENTP
59,61,65,32,ESTP
33,44,93,87,INTJ
24,12,8,72,INFJ
61,48,38,53,ENFP
19,69,56,15,ISTP
16,69,6,49,ISFP
22,62,54,94,ISFJ
62,1,79,89,ENTJ
9,62,57,75,ISTJ
5,90,50,16,ISFP
99,65,16,41,ESFP
8,16,53,2,INFP
95,85,83,96,ESTJ
4,85,37,80,ISFJ
56,53,79,26,ENTP
38,48,89,33,INTP
69,62,77,73,ESTJ
97,63,58,67,ESTJ
79,97,47,45,ESFP
27,68,73,80,ISTJ
62,93,52,88,ESFJ
6,54,55,40,INTP
97,25,44,20,ENFP
33,43,99,37,INTP
36,77,76,8,ISTP
10,24,88,90,INTJ
4,5,84,25,INTP
50,9,86,26,INTP
2,88,31,16,ISFP
6,16,21,81,INFJ
0,63,76,89,ISTJ
44,36,98,66,INTJ
15,34,94,1,INTP
18,11,40,84,INFJ
69,46,48,66,ENFJ
13,13,30,100,INFJ
82,90,93,51,ESTP
25,75,82,53,ISTP
62,67,87,6,ESTP
47,61,39,57,ISFJ
86,2,4,92,ENFJ
4,64,86,53,ISTP
46,72,94,58,ISTJ
23,13,34,54,INFP
34,14,0,60,INFJ
5,85,87,48,ISTP
97,83,39,56,ESFJ
30,9,3,95,INFJ
26,44,59,99,INTJ
62,38,3,31,ENFP
45,43,45,16,INFP
29,38,11,38,INFP
87,24,13,27,ENFP
75,83,17,76,ESFJ
80,46,77,97,ENTJ
86,5,1,50,ENFP
46,78,11,40,ISFP
7,56,94,37,ISTP
6,79,41,84,ISFJ
92,81,32,43,ESFP
27,52,62,54,INTP
52,75,65,75,ISTJ
41,16,19,86,INFJ
74,77,100,41,ESTP
0,60,38,12,ISFP
5,17,20,6,INFP
77,40,38,19,ENFP
95,51,62,58,ENTJ
30,49,2,29,INFP
88,1,21,51,ENFP
62,80,5,60,ESFJ
50,100,20,97,ISFJ
86,42,100,96,ENTJ
22,14,49,6,INFP
58,93,31,51,ESFP
32,11,97,69,INTJ
96,48,80,37,ENTP
36,2,32,7,INFP
24,14,39,93,INFJ
31,0,71,13,INTP
27,81,47,59,ISFJ
99,21,99,7,ENTP
85,88,37,60,ESFJ
3,27,43,55,INFJ
59,33,73,64,ENTJ
40,39,21,70,INFJ
73,21,71,84,ENTJ
88,51,40,18,ENFP
39,11,99,19,INTP
68,35,17,5,ENFP
95,13,95,58,ENTJ
50,39,48,22,INFP
6,68,33,10,ISFP
5,50,15,16,INFP
71,55,41,99,ESFJ
75,81,43,66,ESFJ
100,18,88,55,ENTJ
88,22,63,51,ENTP
6,15,64,59,INTJ
18,2,91,36,INTP
67,29,90,39,ENTP
27,65,25,92,ISFJ
79,38,53,60,ENFJ
98,47,89,61,ENTJ
10,69,60,12,ISTP
85,83,37,95,ESFJ
24,61,2,67,ISFJ
96,91,28,30,ESFP
40,21,0,46,INFP
6,67,77,67,ISTJ
46,40,63,24,INTP
2,18,32,36,INFP
34,87,43,1,ISFP
50,15,91,41,INTP
27,46,88,69,INTJ
71,10,55,58,ENTJ
15,32,88,10,INTP
96,81,59,11,ESTP
59,62,7,38,ESFP
19,87,72,18,ISTP
95,10,0,82,ENFJ
3,86,38,64,ISFJ
86,59,59,17,ESTP
63,12,71,79,ENTJ
41,2,35,38,INFP
99,58,96,66,ESTJ
51,72,64,32,ISTP
100,38,76,36,ENTP
68,81,18,39,ESFP
86,3,57,89,ENTJ
15,13,94,91,INTJ
17,82,6,43,ISFP
91,22,55,73,ENTJ
22,25,9,41,INFP
73,76,53,63,ESFJ
62,99,58,12,ESTP
39,44,5,58,INFJ
71,89,90,95,ESTJ
31,53,74,10,INTP
97,9,58,66,ENTJ
62,42,61,52,ENTP
45,95,86,75,ISTJ
0,77,86,62,ISTJ
39,43,3,54,INFP
4,88,20,56,ISFJ
12,86,100,40,ISTP
39,85,91,70,ISTJ
1,96,78,1,ISTP
43,69,70,41,ISTP
52,88,76,10,ISTP
31,5,62,39,INTP
97,92,77,60,ESTJ
40,61,73,85,ISTJ
13,60,79,74,ISTJ
42,0,1,32,INFP
57,17,34,64,ENFJ
83,99,68,31,ESTP
74,77,15,52,ESFP
66,22,43,91,ENFJ
31,22,27,68,INFJ
33,92,40,24,ISFP
35,12,69,72,INTJ
91,93,83,76,ESTJ
19,57,95,72,ISTJ
3,11,91,0,INTP
12,51,58,55,INTJ
64,48,44,61,ENFJ
76,20,38,36,ENFP
65,49,60,62,ENTJ
98,0,82,77,ENTJ
5,98,7,22,ISFP
55,24,28,32,ENFP
35,53,5,24,INFP
57,45,78,58,ENTJ
18,75,65,24,ISTP
16,26,44,69,INFJ
83,42,25,22,ENFP
45,39,78,67,INTJ
49,61,74,65,ISTJ
13,70,97,0,ISTP
63,37,49,59,ENFJ
27,57,55,66,ISTJ
79,45,70,0,ENTP
7,57,84,71,ISTJ
35,5,16,67,INFJ
50,24,52,62,INFJ
74,74,83,24,ESTP
89,31,21,30,ENFP
16,44,56,62,INTJ
84,79,89,66,ESTJ
30,13,72,46,INTP
79,58,78,17,ESTP
56,67,15,12,ESFP
47,8,49,90,INFJ
17,52,59,17,INTP
93,5,52,6,ENFP
36,70,51,7,ISFP
7,55,27,17,ISFP
9,4,17,16,INFP
32,5,7,39,INFP
30,99,96,29,ISTP
77,49,56,93,ENTJ
26,87,69,39,ISTP
29,70,13,24,ISFP
69,84,67,64,ESTJ
36,95,45,56,ISFJ
78,66,55,90,ESTJ
16,1,35,6,INFP
63,91,86,92,ESTJ
50,89,62,77,ISTJ
2,16,53,100,INFJ
41,15,49,3,INFP
41,64,93,89,ISTJ
61,64,12,76,ESFJ
44,37,52,10,INFP
31,77,76,10,ISTP
92,11,43,98,ENFJ
14,1,6,6,INFP
89,67,19,15,ESFP
33,50,31,55,INFJ
29,25,43,99,INFJ
16,2,65,15,INTP
89,36,24,87,ENFJ
61,65,19,52,ESFP
37,93,2,47,ISFP
3,98,100,9,ISTP
96,36,90,38,ENTP
13,94,76,8,ISTP
52,83,0,79,ISFJ
73,9,100,67,ENTJ
79,34,48,54,ENFP
78,53,24,41,ENFP
44,36,12,28,INFP
66,7,69,33,ENTP
55,3,55,25,ENTP
64,33,34,54,ENFP
100,42,33,46,ENFP
69,4,70,51,ENTP
73,35,56,96,ENTJ
81,83,12,90,ESFJ
75,4,48,61,ENFJ
93,12,31,47,ENFP
24,19,72,58,INTJ
74,96,78,41,ESTP
7,32,27,33,INFP
36,80,58,2,ISTP
95,0,31,19,ENFP
18,49,49,96,INFJ
93,14,27,35,ENFP
41,14,85,32,INTP
11,34,45,28,INFP
45,83,26,69,ISFJ
18,52,30,75,INFJ
20,44,91,84,INTJ
12,42,94,91,INTJ
37,26,78,52,INTP
54,98,27,60,ISFJ
72,57,98,18,ESTP
80,64,69,7,ESTP
52,75,94,50,ISTP
40,78,71,98,ISTJ
97,95,80,80,ESTJ
56,90,85,20,ESTP
30,80,38,72,ISFJ
72,44,49,99,ENFJ
79,27,60,22,ENTP
97,24,1,62,ENFJ
73,58,76,29,ESTP
59,38,60,90,ENTJ
1,81,43,31,ISFP
54,94,78,41,ISTP
87,28,66,64,ENTJ
12,1,76,66,INTJ
95,65,10,21,ESFP
92,89,0,92,ESFJ
1,48,11,39,INFP
59,55,43,20,ESFP
0,87,9,93,ISFJ
53,15,53,88,INFJ
58,11,62,26,ENTP
84,89,58,98,ESTJ
15,59,9,49,ISFP
74,92,73,93,ESTJ
36,40,67,68,INTJ
65,56,71,88,ESTJ
16,4,99,10,INTP
24,46,53,28,INFP
50,34,100,89,INTJ
8,69,88,89,ISTJ
36,6,52,56,INFJ
77,12,85,100,ENTJ
86,33,8,20,ENFP
37,73,29,29,ISFP
62,10,4,54,ENFP
89,98,98,74,ESTJ
12,36,16,46,INFP
80,96,62,75,ESTJ
5,23,34,21,INFP
59,51,30,24,ENFP
43,86,98,3,ISTP
53,20,36,22,INFP
80,61,7,63,ESFJ
73,82,87,15,ESTP
65,0,25,36,ENFP
94,13,52,16,ENFP
2,53,80,58,INTJ
39,47,96,18,INTP
55,60,32,15,ESFP
86,43,57,9,ENTP
68,82,23,21,ESFP
23,79,6,1,ISFP
33,68,68,59,ISTJ
4,18,2,78,INFJ
15,46,62,28,INTP
40,95,37,39,ISFP
85,77,52,56,ESFJ
7,52,36,70,INFJ
45,85,85,38,ISTP
65,12,59,44,ENTP
88,0,2,70,ENFJ
50,21,87,86,INTJ
39,8,51,12,INFP
61,37,81,25,ENTP
56,40,15,11,ENFP
36,29,44,47,INFP
49,39,47,13,INFP
25,74,48,78,ISFJ
31,70,2,31,ISFP
25,50,49,93,INFJ
40,36,85,44,INTP
33,27,38,79,INFJ
85,0,96,96,ENTJ
73,4,4,49,ENFP
91,69,54,44,ESFP
82,3,92,58,ENTJ
64,22,66,54,ENTP
21,55,81,14,ISTP
71,14,36,26,ENFP
11,15,13,98,INFJ
2,80,62,32,ISTP
56,20,52,30,ENFP
39,26,9,42,INFP
42,2,61,85,INTJ
12,63,15,27,ISFP
100,14,23,12,ENFP
62,6,66,80,ENTJ
65,62,74,37,ESTP
51,6,0,11,INFP
31,89,77,42,ISTP
34,84,63,42,ISTP
74,59,86,20,ESTP
95,77,17,69,ESFJ
20,91,72,93,ISTJ
6,83,86,20,ISTP
38,14,71,20,INTP
33,53,74,63,INTJ
16,82,60,88,ISTJ
52,44,90,28,INTP
59,22,42,57,ENFJ
57,96,58,52,ESTP
99,66,43,76,ESFJ
35,31,84,79,INTJ
42,90,65,90,ISTJ
13,29,71,5,INTP
23,8,87,42,INTP
24,72,5,38,ISFP
47,3,75,33,INTP
79,61,48,2,ESFP
17,85,65,62,ISTJ
59,73,3,79,ESFJ
97,73,85,2,ESTP
53,5,67,33,INTP
94,16,81,39,ENTP
79,5,89,60,ENTJ
25,10,17,73,INFJ
94,98,79,83,ESTJ
94,85,49,39,ESFP
64,21,58,30,ENTP
62,57,63,18,ESTP
6,76,84,66,ISTJ
2,43,16,87,INFJ
41,100,47,67,ISFJ
63,42,48,20,ENFP
99,98,70,13,ESTP
20,95,72,91,ISTJ
92,20,59,38,ENTP
3,82,9,26,ISFP
7,70,23,21,ISFP
15,75,95,64,ISTJ
21,1,74,16,INTP
43,45,83,3,INTP
23,16,98,31,INTP
20,10,62,44,INTP
33,73,20,33,ISFP
1,100,37,42,ISFP
25,35,32,31,INFP
60,82,25,17,ESFP
1,66,91,4,ISTP
37,14,40,63,INFJ
12,97,74,92,ISTJ
67,27,46,45,ENFP
8,63,79,13,ISTP
58,1,20,91,ENFJ
26,51,44,73,INFJ
37,12,86,65,INTJ
55,94,96,95,ESTJ
10,23,58,88,INTJ
88,93,39,7,ESFP
26,32,4,71,INFJ
57,94,13,95,ESFJ
55,100,62,83,ESTJ
34,52,65,31,INTP
17,14,69,86,INTJ
88,4,36,61,ENFJ
35,46,89,89,INTJ
57,100,43,99,ESFJ
63,57,54,89,ESFJ
70,10,70,44,ENTP
43,70,44,76,ISFJ
43,9,22,90,INFJ
6,94,33,5,ISFP
16,81,58,67,ISTJ
72,31,91,46,ENTP
36,83,99,32,ISTP
14,65,63,77,ISTJ
27,39,62,99,INTJ
96,50,75,10,ENTP
50,17,68,45,INTP
66,48,5,42,ENFP
41,96,34,59,ISFJ
64,77,12,83,ESFJ
41,67,3,95,ISFJ
44,84,31,84,ISFJ
21,72,14,71,ISFJ
42,58,34,45,ISFP
60,17,89,29,ENTP
13,15,82,98,INTJ
18,26,29,31,INFP
82,53,24,11,ENFP
58,76,36,69,ESFJ
31,88,1,55,ISFJ
16,14,51,60,INFJ
11,11,31,82,INFJ
18,61,31,0,ISFP
85,42,13,35,ENFP
28,94,66,71,ISTJ
59,6,29,93,ENFJ
76,68,44,14,ESFP
51,89,36,69,ISFJ
54,34,38,41,INFP
90,79,65,54,ESTP
83,73,12,83,ESFJ
50,88,52,19,ISFP
94,90,90,59,ESTJ
21,61,93,98,ISTJ
65,61,66,65,ESTJ
23,28,21,27,INFP
26,87,100,49,ISTP
13,37,35,70,INFJ
0,11,87,11,INTP
96,68,89,89,ESTJ
35,40,27,64,INFJ
11,43,33,69,INFJ
49,83,72,85,ISTJ
79,21,59,24,ENTP
11,18,51,60,INFJ
3,93,90,96,ISTJ
2,55,100,12,ISTP
8,91,66,56,ISTJ
75,37,88,100,ENTJ
62,85,54,76,ESFJ
20,43,52,87,INFJ
18,44,43,92,INFJ
80,72,25,41,ESFP
46,55,25,22,ISFP
90,49,40,33,ENFP
26,15,34,25,INFP
67,25,9,43,ENFP
20,10,100,62,INTJ
80,85,69,14,ESTP
7,40,95,31,INTP
60,10,28,38,ENFP
97,81,9,9,ESFP
50,21,4,35,INFP
54,95,12,4,ISFP
33,32,92,52,INTP
93,39,15,71,ENFJ
48,91,18,92,ISFJ
63,69,86,1,ESTP
62,46,5,9,ENFP
79,40,67,92,ENTJ
18,53,90,97,INTJ
27,51,15,28,INFP
57,14,63,23,ENTP
51,22,90,30,INTP
67,6,87,94,ENTJ
34,69,26,1,ISFP
34,19,25,81,INFJ
2,58,45,49,ISFP
57,73,42,28,ESFP
68,97,84,8,ESTP
33,7,93,15,INTP
93,25,94,68,ENTJ
70,24,36,54,ENFP
90,63,60,32,ESTP
62,78,33,59,ESFJ
95,22,100,5,ENTP
69,44,5,34,ENFP
55,29,39,58,ENFJ
11,39,52,65,INFJ
99,66,37,57,ESFJ
33,37,89,70,INTJ
20,88,81,76,ISTJ
62,28,54,77,ENFJ
82,39,88,48,ENTP
44,84,42,95,ISFJ
23,66,30,82,ISFJ
40,40,96,100,INTJ
91,18,58,87,ENTJ
17,0,16,4,INFP
31,0,21,23,INFP
66,75,13,96,ESFJ
72,59,59,97,ESTJ
24,79,60,93,ISTJ
36,46,84,23,INTP
84,60,59,62,ESTJ
29,4,70,90,INTJ
93,61,96,24,ESTP
0,93,93,7,ISTP
96,20,39,79,ENFJ
24,68,61,73,ISTJ
99,98,51,95,ESFJ
27,98,36,40,ISFP
68,64,52,88,ESFJ
99,59,78,54,ESTP
29,83,10,33,ISFP
80,91,64,75,ESTJ
1,19,56,25,INTP
60,32,89,6,ENTP
60,41,59,24,ENTP
41,5,95,23,INTP
73,2,12,90,ENFJ
10,31,8,16,INFP
82,32,22,76,ENFJ
58,92,46,90,ESFJ
70,36,9,49,ENFP
52,99,26,17,ISFP
39,51,22,23,INFP
82,82,90,89,ESTJ
57,69,98,14,ESTP
19,25,42,82,INFJ
41,63,33,99,ISFJ
76,38,91,74,ENTJ
9,27,9,26,INFP
4,69,60,49,ISTP
29,58,96,84,ISTJ
72,4,65,60,ENTJ
72,7,69,73,ENTJ
69,36,76,44,ENTP
60,51,44,69,ENFJ
90,87,35,80,ESFJ
36,45,88,84,INTJ
46,33,65,100,INTJ
44,87,88,100,ISTJ
25,64,21,24,ISFP
17,33,57,37,INTP
73,76,37,36,ESFP
39,94,85,16,ISTP
91,51,95,57,ENTJ
47,59,35,42,ISFP
21,0,96,78,INTJ
97,81,38,47,ESFP
73,72,43,86,ESFJ
26,87,27,22,ISFP
46,95,94,78,ISTJ
54,18,98,4,INTP
23,69,85,44,ISTP
71,46,19,54,ENFP
60,49,82,25,ENTP
36,56,25,97,ISFJ
64,41,25,33,ENFP
33,79,41,85,ISFJ
79,1,1,69,ENFJ
84,28,69,26,ENTP
30,26,70,85,INTJ
13,44,7,32,INFP
85,61,60,23,ESTP
79,84,49,76,ESFJ
100,52,1,53,ENFP
56,19,72,40,ENTP
9,26,89,75,INTJ
10,11,68,38,INTP
45,61,47,1,ISFP
26,82,30,42,ISFP
100,43,39,22,ENFP
72,34,84,75,ENTJ
59,78,50,24,ESFP
49,100,79,15,ISTP
63,26,56,32,ENTP
92,80,73,76,ESTJ
98,27,32,28,ENFP
1,13,62,77,INTJ
33,32,17,49,INFP
10,30,37,81,INFJ
27,21,74,66,INTJ
92,68,79,57,ESTJ
43,96,79,86,ISTJ
1,31,10,18,INFP
78,74,34,13,ESFP
64,85,81,67,ESTJ
85,69,7,97,ESFJ
98,41,47,19,ENFP
76,86,74,36,ESTP
22,74,19,95,ISFJ
25,15,28,36,INFP
16,80,14,74,ISFJ
2,39,25,78,INFJ
74,0,34,39,ENFP
9,44,30,30,INFP
94,46,89,16,ENTP
38,56,28,61,ISFJ
35,73,77,20,ISTP
37,66,31,70,ISFJ
65,20,93,13,ENTP
40,39,58,12,INTP
29,5,98,81,INTJ
99,59,27,41,ESFP
51,34,90,97,INTJ
33,91,64,17,ISTP
10,70,81,92,ISTJ
30,82,43,56,ISFJ
64,94,51,88,ESFJ
78,22,79,83,ENTJ
90,52,55,4,ENTP
11,57,39,92,ISFJ
47,64,29,31,ISFP
3,65,10,18,ISFP
7,67,52,13,ISFP
19,15,69,74,INTJ
78,90,21,77,ESFJ
1,50,87,47,INTP
6,38,50,13,INFP
55,79,32,88,ESFJ
39,9,51,27,INFP
69,81,40,4,ESFP
6,98,0,21,ISFP
35,76,5,33,ISFP
26,25,98,47,INTP
2,99,30,15,ISFP
68,89,35,35,ESFP
69,4,59,84,ENTJ
19,46,49,41,INFP
20,53,79,59,INTJ
12,15,36,0,INFP
63,57,13,86,ESFJ
5,25,75,52,INTP
99,28,67,72,ENTJ
33,38,30,60,INFJ
68,26,13,92,ENFJ
80,14,61,78,ENTJ
54,11,89,37,INTP
52,69,18,64,ISFJ
58,11,35,46,ENFP
37,20,41,31,INFP
71,78,90,55,ESTJ
42,60,84,97,ISTJ
49,78,52,37,ISFP
24,24,80,72,INTJ
33,46,72,84,INTJ
43,48,49,4,INFP
66,95,43,75,ESFJ
4,53,4,58,INFJ
94,82,13,68,ESFJ
9,50,47,94,INFJ
37,96,35,54,ISFP
64,97,15,28,ESFP
94,92,91,36,ESTP
8,70,47,44,ISFP
99,81,5,9,ESFP
59,90,27,56,ESFJ
18,88,36,81,ISFJ
19,50,66,41,INTP
75,26,37,5,ENFP
63,99,22,8,ESFP
14,19,71,0,INTP
87,56,70,45,ESTP
95,99,47,60,ESFJ
16,9,4,46,INFP
75,20,35,24,ENFP
61,53,83,23,ENTP
87,20,13,40,ENFP
82,18,98,100,ENTJ
90,75,96,71,ESTJ
44,65,70,78,ISTJ
47,28,67,89,INTJ
58,61,39,80,ESFJ
100,25,61,65,ENTJ
22,46,3,37,INFP
22,97,2,88,ISFJ
67,44,4,93,ENFJ
42,8,35,72,INFJ
3,3,23,26,INFP
35,56,63,51,ISTP
72,45,93,64,ENTJ
13,51,82,0,INTP
35,95,62,21,ISTP
32,100,14,55,ISFJ
49,89,2,82,ISFJ
26,19,86,75,INTJ
13,79,18,78,ISFJ
94,14,40,72,ENFJ
81,54,44,77,ENFJ
26,47,30,31,INFP
51,45,65,55,INTJ
78,72,48,73,ESFJ
95,27,82,91,ENTJ
89,66,20,83,ESFJ
84,5,57,66,ENTJ
11,24,33,83,INFJ
59,49,28,78,ENFJ
5,1,11,48,INFP
12,74,98,5,ISTP
16,60,16,80,ISFJ
56,68,16,70,ESFJ
9,1,47,82,INFJ
95,52,53,36,ENFP
7,14,66,14,INTP
8,33,78,73,INTJ
69,31,94,45,ENTP
90,69,48,3,ESFP
6,9,44,89,INFJ
5,59,89,4,ISTP
6,96,4,66,ISFJ
38,65,5,36,ISFP
97,1,20,42,ENFP
1,71,10,71,ISFJ
44,87,67,67,ISTJ
17,8,24,77,INFJ
35,38,35,82,INFJ
30,31,13,14,INFP
32,39,39,85,INFJ
7,54,41,9,INFP
82,92,25,74,ESFJ
82,12,77,66,ENTJ
11,68,82,100,ISTJ
95,89,65,60,ESTJ
60,26,35,43,ENFP
35,95,24,46,ISFP
80,29,37,17,ENFP
33,64,79,36,ISTP
62,41,42,93,ENFJ
48,60,37,43,ISFP
84,23,35,98,ENFJ
81,89,91,19,ESTP
5,75,31,46,ISFP
29,35,47,15,INFP
13,85,9,38,ISFP
61,19,55,34,ENTP
86,40,15,53,ENFP
2,35,40,76,INFJ
